eval,a_median,a_q25,a_q75,b_median,b_q25,b_q75,c_median,c_q25,c_q75,d_median,d_q25,d_q75
71,29.69838549304915,28.32027652777549,31.442830652604407,30.238369946601402,28.527276576059293,31.24502963681446,29.652536934764214,28.17057719278027,30.576870101121752,29.083114310943273,27.99981204037985,30.969032738862033
72,29.69838549304915,28.32027652777549,31.442830652604407,30.238369946601402,28.527276576059293,31.24502963681446,29.652536934764214,28.17057719278027,30.576870101121752,29.083114310943273,27.99981204037985,30.969032738862033
73,29.69838549304915,28.32027652777549,31.40066428063652,30.238369946601402,28.527276576059293,31.179000117071425,29.652536934764214,28.17057719278027,30.576870101121752,29.083114310943273,27.99981204037985,30.969032738862033
74,29.69838549304915,28.32027652777549,31.40066428063652,30.238369946601402,28.527276576059293,31.179000117071425,29.555568342649785,28.17057719278027,30.576870101121752,29.083114310943273,27.99981204037985,30.969032738862033
75,29.610125685712767,28.32027652777549,31.40066428063652,30.238369946601402,28.527276576059293,31.179000117071425,29.555568342649785,28.17057719278027,30.576870101121752,29.08083952930413,27.93242588342629,30.924161932180063
76,29.610125685712767,28.32027652777549,31.40066428063652,30.238369946601402,28.527276576059293,31.179000117071425,29.555568342649785,28.17057719278027,30.576870101121752,29.08083952930413,27.93242588342629,30.924161932180063
77,29.610125685712767,28.32027652777549,31.40066428063652,30.238369946601402,28.527276576059293,31.179000117071425,29.555568342649785,28.17057719278027,30.486517593046475,29.08083952930413,27.93242588342629,30.924161932180063
78,29.610125685712767,28.32027652777549,31.40066428063652,30.238369946601402,28.527276576059293,31.179000117071425,29.441571853617702,28.15919300632154,30.364476768496857,29.049388590150315,27.920723956885872,29.92193255366092
79,29.610125685712767,28.32027652777549,31.385240533779854,30.238369946601402,28.527276576059293,31.000234180910233,29.441571853617702,27.343033333786245,30.364476768496857,28.636672196908926,27.705793489391365,29.449939562640406
80,29.610125685712767,28.32027652777549,31.385240533779854,30.21683632195341,28.23317094185455,30.82812503675944,29.441571853617702,27.343033333786245,30.364476768496857,28.636672196908926,27.705793489391365,29.449939562640406
81,29.610125685712767,28.32027652777549,31.385240533779854,30.21683632195341,28.23317094185455,30.82812503675944,29.441571853617702,27.343033333786245,30.364476768496857,28.636672196908926,27.705793489391365,29.449939562640406
82,29.610125685712767,28.32027652777549,31.385240533779854,30.21683632195341,28.23317094185455,30.82812503675944,29.441571853617702,27.343033333786245,30.364476768496857,28.22883954738966,27.381619684376822,29.369347230988176
83,29.610125685712767,28.298497251122008,31.385240533779854,30.21683632195341,28.23317094185455,30.82812503675944,29.20928801562308,27.343033333786245,30.364476768496857,28.22883954738966,27.381619684376822,29.369347230988176
84,29.610125685712767,28.298497251122008,31.385240533779854,30.21683632195341,28.23317094185455,30.82812503675944,29.20928801562308,27.343033333786245,30.364476768496857,28.22883954738966,27.381619684376822,29.369347230988176
85,29.610125685712767,27.97367334740714,31.239924720814233,30.21683632195341,28.23317094185455,30.82812503675944,29.20928801562308,27.343033333786245,30.364476768496857,28.22883954738966,27.381619684376822,29.212501973345837
86,29.610125685712767,27.97367334740714,31.239924720814233,30.21683632195341,28.23317094185455,30.82812503675944,29.20928801562308,27.343033333786245,30.364476768496857,28.22883954738966,27.381619684376822,29.212501973345837
