algorithm,n,seed,nodes_expanded,backtracks,constraint_checks,repair_steps,runtime_seconds,objective,num_assigned,num_unassigned,failure_rate,success,hit_step_budget,budget_s,censored
bt_lcv,25,101,699024,699006,699024,0,5.000032535999708,1576.4643444987232,19,6,0.24,False,False,5.0,True
bt_lcv,25,202,322078,322055,322078,0,5.000014604999706,930.6435679762467,23,2,0.08,False,False,5.0,True
bt_lcv,25,303,379755,379741,379755,0,5.000006518999726,1814.0271709301117,15,10,0.4,False,False,5.0,True
bt_lcv,25,404,262443,262421,262443,0,5.000179378999746,703.0049768827981,22,3,0.12,False,False,5.0,True
bt_lcv,25,505,267840,267816,267840,0,5.000031501999729,483.93795135069456,24,1,0.04,False,False,5.0,True
bt_lcv,30,7,455769,455740,455769,0,5.000032981000004,1377.7276191484907,29,1,0.03333333333333333,False,False,5.0,True
bt_lcv,30,13,332926,332898,332926,0,5.000035311999909,1426.9776888215288,28,2,0.06666666666666667,False,False,5.0,True
bt_lcv,30,42,242497,242470,242497,0,5.00003605000029,1103.389420085961,27,3,0.1,False,False,5.0,True
bt_lcv,30,101,318360,318334,318360,0,5.000021682999886,1231.2969461809207,27,3,0.1,False,False,5.0,True
bt_lcv,30,202,313377,313352,313377,0,5.000013437999769,1403.5200621991187,26,4,0.13333333333333333,False,False,5.0,True
bt_lcv,30,303,386767,386750,386767,0,5.000013330999991,2420.9573250143826,18,12,0.4,False,False,5.0,True
bt_lcv,30,404,285381,285354,285381,0,5.000027325999781,795.5984357347565,27,3,0.1,False,False,5.0,True
bt_lcv,30,505,255373,255344,255373,0,5.000026168000204,721.8518617606269,29,1,0.03333333333333333,False,False,5.0,True
bt_lcv,40,7,261804,261789,261804,0,5.000086708999788,4609.2184524354525,17,23,0.575,False,False,5.0,True
bt_lcv,40,13,236762,236726,236762,0,5.0000271720000455,1992.4046090257857,36,4,0.1,False,False,5.0,True
bt_lcv,40,42,215892,215857,215892,0,5.000022558999717,1591.9034606988316,36,4,0.1,False,False,5.0,True
bt_lcv,40,101,571205,571170,571205,0,5.00006429799987,1753.385535090723,35,5,0.125,False,False,5.0,True
bt_lcv,40,202,417495,417463,417495,0,5.000148871999954,2319.515000253128,32,8,0.2,False,False,5.0,True
bt_lcv,40,303,294497,294476,294497,0,5.0000477029998365,3574.0003939750977,22,18,0.45,False,False,5.0,True
bt_lcv,40,404,253720,253683,253720,0,5.0000253070002145,1001.1353485804634,37,3,0.075,False,False,5.0,True
bt_lcv,40,505,149737,149698,149737,0,5.000092965000022,1049.7586067353075,39,1,0.025,False,False,5.0,True
bt_lcv,50,7,173720,173703,173720,0,5.000121732000025,6151.241299220162,18,32,0.64,False,False,5.0,True
bt_lcv,50,13,169072,169049,169072,0,5.00024011000005,5612.6131463482,24,26,0.52,False,False,5.0,True
bt_lcv,50,42,146195,146149,146195,0,5.000050484999974,1665.6136242789714,46,4,0.08,False,False,5.0,True
bt_lcv,50,101,207730,207717,207730,0,5.000132918999952,6431.37873760907,14,36,0.72,False,False,5.0,True
bt_lcv,50,202,184342,184326,184342,0,5.000099363999652,6271.183661563223,17,33,0.66,False,False,5.0,True
